area,2015_good,2016_good,2017_good,2018_good,2019_good,2020_good,2015_common,2016_common,2017_common,2018_common,2019_common,2020_common,2015_bad,2016_bad,2017_bad,2018_bad,2019_bad,2020_bad,2015_verybad,2016_verybad,2017_verybad,2018_verybad,2019_verybad,2020_verybad
Nationwide,72,54,84,135,117,171,267,297,265,209,231,195,25,13,14,21,16,0,1,2,2,0,1,0
Metropolitan,72,45,77,126,109,150,259,290,260,217,226,212,30,29,26,22,27,4,4,2,2,0,3,0
Seoul,97,65,113,140,139,168,243,277,230,204,198,193,21,23,20,21,25,5,4,1,2,0,3,0
Busan,102,89,86,136,163,208,242,259,269,212,193,156,20,16,10,16,9,2,1,2,0,1,0,0
Daegu,90,103,111,155,148,176,248,246,244,196,200,186,26,16,10,13,17,4,1,1,0,1,0,0
Incheon,67,49,78,140,115,182,256,299,264,207,227,182,40,16,21,18,21,2,2,2,2,0,2,0
Gwangju,122,151,134,149,117,210,220,200,216,193,227,156,21,11,12,21,19,0,2,4,3,2,2,0
Daejeon,111,92,83,121,143,182,225,255,268,219,198,183,28,17,12,24,21,1,1,2,2,1,3,0
Ulsan,101,101,104,162,173,206,242,252,250,184,181,158,21,11,10,18,11,2,1,2,1,1,0,0
Sejong,,65,69,130,127,165,,285,279,215,209,197,,15,15,19,24,4,,1,2,1,5,0
Gyeonggi,65,45,59,123,97,137,261,285,269,216,233,223,35,34,35,26,32,6,4,2,2,0,3,0
Gangwon,77,65,108,150,159,219,260,285,241,199,194,144,25,14,15,16,11,3,3,2,1,0,1,0
Chungbuk,90,99,106,117,113,164,236,243,242,220,228,199,38,23,15,27,23,3,1,1,2,1,1,0
Chungnam,94,65,74,144,96,145,244,286,271,202,249,215,25,13,18,19,17,6,2,2,2,0,3,0
Jeonbuk,86,58,69,121,108,171,239,274,269,212,232,194,37,31,24,32,22,1,3,3,3,0,3,0
Jeonnam,142,166,160,191,193,247,214,191,201,164,166,119,8,9,1,10,6,0,1,0,3,0,0,0
Gyeongbuk,101,123,124,129,142,212,246,235,232,214,206,152,17,7,9,21,17,2,1,1,0,1,0,0
Gyeongnam,76,75,93,136,136,220,271,274,264,215,219,146,17,15,8,13,10,0,1,2,0,1,0,0
Jeju,84,138,166,202,176,220,259,211,192,147,175,142,20,17,5,14,9,2,2,0,2,0,1,0
