날짜,평균기온,최저기온,최고기온
2022-06-01,22.1,16.2,28.6
2022-06-02,21.5,17.1,26.9
2022-06-03,24.5,18.7,32.6
2022-06-04,25.6,20.3,29.7
2022-06-05,22.7,20.2,27
2022-06-06,19.7,16.7,24.5
2022-06-07,20.6,15.1,25.1
2022-06-08,21.2,16.2,25.8
2022-06-09,20.9,18.5,24.5
2022-06-10,20.9,17.2,26.6
2022-06-11,24.6,17.7,32.7
2022-06-12,24.6,18.9,31.5
2022-06-13,23.6,19.6,29.2
2022-06-14,21.5,17.7,27.1
2022-06-15,17.5,14.9,20.1
2022-06-16,20.3,17.6,24.8
2022-06-17,22.5,16.5,28.1
2022-06-18,23.3,22,25.1
2022-06-19,23.4,22.3,25.1
2022-06-20,25.2,22,29
2022-06-21,26.5,21.2,32.6
2022-06-22,25.9,21.9,31
2022-06-23,24.3,23.3,26.4
2022-06-24,22.6,20.6,24.9
2022-06-25,26,21.5,30.5
2022-06-26,26.5,24.8,28.1
2022-06-27,26.8,25.4,28.1
2022-06-28,26.9,25.7,27.9
2022-06-29,25.1,24.4,26.1
2022-06-30,22.3,21.2,24.5
